,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
0,12027,1,Rejected,Emerson Nolan,http://review.couchbase.org/#/c/12027/1,2012-01-03,22:37:04.706000000,2012-01-03,22:45:23.491000000
5,12050,5,ApproveAfterChange,Emerson Nolan,http://review.couchbase.org/#/c/12050/5,,,2012-01-09,00:39:32.532000000
6,12051,1,Rejected,Emerson Nolan,http://review.couchbase.org/#/c/12051/1,2012-01-04,21:45:08.738000000,2012-01-04,21:45:08.738000000
7,12096,1,DirectlyApprove,Emerson Nolan,http://review.couchbase.org/#/c/12096/1,2012-01-06,06:17:37.276000000,2012-01-09,03:11:36.499000000
8,12144,1,Rejected,Harold Hull,http://review.couchbase.org/#/c/12144/1,2012-01-08,23:14:10.611000000,2012-01-09,00:31:44.329000000
9,12148,1,Rejected,Harold Hull,http://review.couchbase.org/#/c/12148/1,2012-01-09,00:32:29.521000000,2012-01-09,00:39:22.221000000
10,12149,1,Rejected,Emerson Nolan,http://review.couchbase.org/#/c/12149/1,2012-01-08,21:47:50.404000000,2012-01-08,21:47:50.404000000
11,12150,1,DirectlyApprove,Harold Hull,http://review.couchbase.org/#/c/12150/1,2012-01-08,23:19:53.812000000,2012-01-09,00:27:00.069000000
12,12151,1,DirectlyApprove,Harold Hull,http://review.couchbase.org/#/c/12151/1,2012-01-09,00:32:00.398000000,2012-01-09,00:32:00.482000000
15,12159,3,ApproveAfterChange,Harold Hull,http://review.couchbase.org/#/c/12159/3,2012-01-11,02:08:22.570000000,2012-01-11,02:33:39.376000000
18,12160,3,ApproveAfterChange,Emerson Nolan,http://review.couchbase.org/#/c/12160/3,2012-01-09,05:42:03.002000000,2012-01-11,02:02:00.101000000
21,12285,3,ApproveAfterChange,Harold Hull,http://review.couchbase.org/#/c/12285/3,,,2012-01-15,22:11:34.501000000
22,12384,1,DirectlyApprove,Harold Hull,http://review.couchbase.org/#/c/12384/1,2012-01-15,22:07:43.894000000,2012-01-15,22:11:44.667000000
23,12554,1,Rejected,Emerson Nolan,http://review.couchbase.org/#/c/12554/1,2012-01-22,11:23:10.969000000,2012-01-22,11:23:10.969000000
24,12557,1,Rejected,Cory Peck,http://review.couchbase.org/#/c/12557/1,2012-01-21,06:46:29.758000000,2012-02-07,07:45:21.478000000
25,12561,1,Rejected,Cory Peck,http://review.couchbase.org/#/c/12561/1,2012-01-21,08:48:57.733000000,2012-01-22,05:13:35.181000000
29,12576,4,ApproveAfterChange,Cory Peck,http://review.couchbase.org/#/c/12576/4,,,2012-01-22,12:10:17.938000000
32,12577,3,ApproveAfterChange,Emerson Nolan,http://review.couchbase.org/#/c/12577/3,,,2012-01-22,12:10:00.473000000
36,12578,4,ApproveAfterChange,Emerson Nolan,http://review.couchbase.org/#/c/12578/4,,,2012-01-22,12:10:31.129000000
37,12580,1,Rejected,Cory Peck,http://review.couchbase.org/#/c/12580/1,2012-01-22,12:08:44.052000000,2012-01-22,12:08:44.052000000
38,12582,1,Rejected,Cory Peck,http://review.couchbase.org/#/c/12582/1,2012-01-22,18:39:45.604000000,2012-01-22,18:39:45.604000000
39,12583,1,DirectlyApprove,Cory Peck,http://review.couchbase.org/#/c/12583/1,2012-01-22,18:41:31.962000000,2012-01-22,18:42:07.207000000
41,12674,2,DirectlyApprove,Harold Hull,http://review.couchbase.org/#/c/12674/2,,,2012-01-26,01:56:05.447000000
43,12687,2,Rejected,Harold Hull,http://review.couchbase.org/#/c/12687/2,2012-01-26,03:08:37.387000000,2012-01-26,03:26:13.392000000
46,12688,3,ApproveAfterChange,Harold Hull,http://review.couchbase.org/#/c/12688/3,2012-01-26,03:26:27.238000000,2012-01-26,03:27:03.869000000
49,12689,3,ApproveAfterChange,Harold Hull,http://review.couchbase.org/#/c/12689/3,2012-01-26,03:27:15.403000000,2012-01-26,03:28:38.911000000
50,12690,1,DirectlyApprove,Harold Hull,http://review.couchbase.org/#/c/12690/1,2012-01-26,03:21:40.072000000,2012-01-26,03:28:48.937000000
53,12841,3,ApproveAfterChange,Harold Hull,http://review.couchbase.org/#/c/12841/3,,,2012-02-01,00:54:27.444000000
58,12907,5,ApproveAfterChange,Emerson Nolan,http://review.couchbase.org/#/c/12907/5,2012-02-02,07:03:22.650000000,2012-02-06,20:09:57.833000000
63,13046,5,ApproveAfterChange,Emerson Nolan,http://review.couchbase.org/#/c/13046/5,,,2012-02-08,01:47:06.029000000
64,13082,1,DirectlyApprove,Harold Hull,http://review.couchbase.org/#/c/13082/1,2012-02-08,02:58:22.244000000,2012-02-13,20:52:30.163000000
70,13083,6,ApproveAfterChange,Harold Hull,http://review.couchbase.org/#/c/13083/6,,,2012-02-20,06:52:28.285000000
74,13085,4,ApproveAfterChange,Harold Hull,http://review.couchbase.org/#/c/13085/4,2012-02-12,05:23:26.201000000,2012-02-20,06:52:48.144000000
76,13372,2,DirectlyApprove,Cory Peck,http://review.couchbase.org/#/c/13372/2,,,2012-02-20,06:52:09.811000000
78,13373,2,DirectlyApprove,Cory Peck,http://review.couchbase.org/#/c/13373/2,2012-02-20,03:29:52.310000000,2012-02-20,06:53:06.799000000
79,13374,1,Rejected,Cory Peck,http://review.couchbase.org/#/c/13374/1,2012-02-20,03:21:33.088000000,2012-02-20,03:21:33.088000000
80,13375,1,Rejected,Cory Peck,http://review.couchbase.org/#/c/13375/1,2012-02-20,03:21:18.519000000,2012-02-20,03:21:18.519000000
