,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
0,36099,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/36099/1,2014-04-21,18:11:22.073000000,2014-04-21,18:11:47.220000000
1,36134,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/36134/1,2014-04-22,11:28:22.464000000,2014-04-22,11:28:56.979000000
2,36204,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/36204/1,2014-04-23,07:00:40.161000000,2014-04-23,07:01:08.015000000
3,36211,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/36211/1,2014-04-23,10:15:49.944000000,2014-04-23,10:16:22.228000000
4,36214,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/36214/1,2014-04-23,12:23:26.193000000,2014-04-23,12:23:47.803000000
6,36215,2,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/36215/2,2014-04-23,12:40:32.619000000,2014-04-23,17:07:08.441000000
7,36291,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/36291/1,2014-04-25,12:46:45.769000000,2014-04-25,12:47:18.392000000
8,36742,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/36742/1,2014-05-06,13:13:56.140000000,2014-05-06,13:14:42.282000000
9,36841,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/36841/1,2014-05-08,15:43:21.442000000,2014-05-08,15:43:42.380000000
10,36886,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/36886/1,2014-05-09,09:22:12.711000000,2014-05-09,09:22:38.515000000
11,36896,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/36896/1,2014-05-09,15:13:06.354000000,2014-05-09,15:13:36.283000000
12,37025,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37025/1,2014-05-13,09:05:01.502000000,2014-05-13,09:05:23.217000000
13,37034,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37034/1,2014-05-13,12:09:43.497000000,2014-05-13,12:10:19.821000000
14,37069,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37069/1,2014-05-14,14:01:52.908000000,2014-05-20,07:34:39.063000000
15,37273,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37273/1,2014-05-19,14:09:57.003000000,2014-05-20,07:35:13.304000000
16,37302,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37302/1,2014-05-20,05:24:19.765000000,2014-05-20,07:35:13.299000000
17,37309,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37309/1,2014-05-20,07:12:40.700000000,2014-05-20,07:35:13.110000000
18,37310,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37310/1,2014-05-20,07:47:22.556000000,2014-05-20,07:48:01.218000000
19,37313,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37313/1,2014-05-20,10:21:21.863000000,2014-05-20,10:22:40.084000000
21,37381,2,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37381/2,2014-05-21,12:25:02.682000000,2014-05-21,12:26:19.811000000
22,37437,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37437/1,2014-05-22,13:02:18.473000000,2014-05-22,13:02:45.640000000
23,37491,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37491/1,2014-05-23,05:59:18.753000000,2014-05-23,05:59:49.183000000
24,37499,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37499/1,2014-05-23,14:25:03.002000000,2014-05-23,14:25:59.488000000
25,37502,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37502/1,2014-05-23,14:58:28.771000000,2014-05-23,14:59:52.442000000
26,37503,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37503/1,2014-05-23,15:20:39.678000000,2014-05-23,15:21:56.817000000
28,37585,2,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37585/2,2014-05-26,12:53:07.715000000,2014-05-26,13:19:55.755000000
29,37594,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37594/1,2014-05-26,15:46:52.016000000,2014-05-26,15:47:19.728000000
30,37595,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37595/1,2014-05-26,16:22:34.132000000,2014-05-26,16:23:19.406000000
31,37702,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37702/1,2014-05-30,06:19:21.697000000,2014-05-30,06:19:45.315000000
32,37703,1,DirectlyApprove,Natasha Sullivan,http://review.couchbase.org/#/c/37703/1,2014-05-30,10:54:42.220000000,2014-06-03,09:43:49.550000000
