,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
0,34189,1,DirectlyApprove,Justice Schneider,http://review.couchbase.org/#/c/34189/1,2014-03-05,17:12:01.946000000,2014-03-05,17:16:23.384000000
1,34190,1,Rejected,Maliyah Fischer,http://review.couchbase.org/#/c/34190/1,2014-03-05,17:56:46.182000000,2014-03-05,18:18:26.020000000
2,34191,1,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/34191/1,2014-03-05,18:16:27.594000000,2014-03-05,18:19:06.641000000
3,34228,1,DirectlyApprove,Justice Schneider,http://review.couchbase.org/#/c/34228/1,2014-03-06,07:30:50.218000000,2014-03-06,07:31:35.273000000
4,34236,1,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/34236/1,2014-03-06,11:46:41.523000000,2014-03-06,12:00:11.814000000
5,34237,1,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/34237/1,2014-03-06,15:24:43.814000000,2014-03-06,18:23:18.846000000
7,34254,2,Rejected,Leonel Abbott,http://review.couchbase.org/#/c/34254/2,2014-03-07,08:11:34.124000000,2014-03-07,15:14:15.417000000
8,34255,1,Rejected,Leonel Abbott,http://review.couchbase.org/#/c/34255/1,2014-03-07,08:11:34.126000000,2014-03-07,12:01:39.351000000
9,34261,1,Rejected,Leonel Abbott,http://review.couchbase.org/#/c/34261/1,2014-03-07,14:43:35.598000000,2014-03-07,15:44:43.873000000
12,34262,3,ApproveAfterChange,Leonel Abbott,http://review.couchbase.org/#/c/34262/3,2014-03-07,15:34:06.751000000,2014-03-10,15:37:42.811000000
13,34327,1,Rejected,Maliyah Fischer,http://review.couchbase.org/#/c/34327/1,2014-03-10,08:33:07.780000000,2014-03-10,08:48:41.725000000
16,34336,3,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/34336/3,2014-03-10,12:02:08.095000000,2014-03-10,15:37:13.208000000
17,34340,1,Rejected,Justice Schneider,http://review.couchbase.org/#/c/34340/1,2014-03-10,14:37:05.603000000,2014-03-10,15:38:23.435000000
19,34342,2,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/34342/2,2014-03-10,17:21:27.972000000,2014-03-11,08:02:00.300000000
23,34377,4,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/34377/4,2014-03-11,11:38:13.211000000,2014-03-12,09:27:00.617000000
26,34385,3,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/34385/3,2014-03-11,17:40:50.776000000,2014-03-12,09:26:40.489000000
29,34418,3,ApproveAfterChange,Leonel Abbott,http://review.couchbase.org/#/c/34418/3,2014-03-12,09:48:07.520000000,2014-03-15,13:56:07.335000000
31,34421,2,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/34421/2,2014-03-12,10:11:55.423000000,2014-03-12,12:51:46.173000000
36,34441,5,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/34441/5,2014-03-12,16:42:52.603000000,2014-03-14,11:28:39.447000000
39,34469,3,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/34469/3,2014-03-13,11:03:25.179000000,2014-03-14,11:31:22.078000000
42,34470,3,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/34470/3,2014-03-13,11:18:16.235000000,2014-03-14,11:32:07.820000000
43,34493,1,Rejected,Leonel Abbott,http://review.couchbase.org/#/c/34493/1,2014-03-14,15:38:17.297000000,2014-03-14,15:42:47.033000000
46,34683,3,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/34683/3,2014-03-19,10:33:28.938000000,2014-03-20,09:40:42.938000000
56,34688,10,ApproveAfterChange,Leonel Abbott,http://review.couchbase.org/#/c/34688/10,2014-03-19,17:00:14.882000000,2014-03-27,06:32:36.430000000
61,34727,5,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/34727/5,2014-03-20,12:50:12.007000000,2014-03-26,16:29:40.272000000
63,34838,2,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/34838/2,2014-03-23,14:49:01.481000000,2014-03-25,05:57:49.750000000
66,34839,3,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/34839/3,2014-03-23,15:39:08.616000000,2014-03-25,05:58:23.154000000
70,34840,4,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/34840/4,2014-03-23,17:10:37.096000000,2014-03-25,05:59:50.199000000
74,34841,4,ApproveAfterChange,Maliyah Fischer,http://review.couchbase.org/#/c/34841/4,2014-03-23,17:23:13.543000000,2014-03-25,06:00:45.313000000
82,34842,8,ApproveAfterChange,Leonel Abbott,http://review.couchbase.org/#/c/34842/8,2014-03-24,06:12:58.640000000,2014-04-01,13:38:21.861000000
93,34850,11,ApproveAfterChange,Leonel Abbott,http://review.couchbase.org/#/c/34850/11,2014-03-24,09:29:48.624000000,2014-04-01,13:37:45.337000000
95,34934,2,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/34934/2,2014-03-26,12:32:06.336000000,2014-03-26,16:30:18.729000000
101,34976,6,ApproveAfterChange,Leonel Abbott,http://review.couchbase.org/#/c/34976/6,2014-03-27,06:38:43.121000000,2014-04-01,13:37:16.754000000
103,34985,2,DirectlyApprove,Maliyah Fischer,http://review.couchbase.org/#/c/34985/2,2014-03-27,12:11:36.653000000,2014-04-01,05:51:20.230000000
111,35181,8,Rejected,Leonel Abbott,http://review.couchbase.org/#/c/35181/8,2014-04-02,06:39:50.489000000,2014-04-11,17:03:50.867000000
114,35190,3,ApproveAfterChange,Leonel Abbott,http://review.couchbase.org/#/c/35190/3,2014-04-02,11:44:24.170000000,2014-04-08,06:19:17.164000000
122,35192,8,ApproveAfterChange,Leonel Abbott,http://review.couchbase.org/#/c/35192/8,2014-04-02,12:18:51.610000000,2014-04-17,07:05:34.645000000
131,35194,9,Rejected,Leonel Abbott,http://review.couchbase.org/#/c/35194/9,2014-04-02,12:23:51.789000000,2014-06-09,05:00:10.895000000
