,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
2,79,3,ApproveAfterChange,Nathalie Landry,http://review.couchbase.org/#/c/79/3,,,2010-05-17,18:40:52.645000000
3,96,1,Rejected,Nathalie Landry,http://review.couchbase.org/#/c/96/1,2010-05-18,21:13:02.949000000,2010-05-18,21:13:02.949000000
4,98,1,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/98/1,2010-05-18,21:52:19.014000000,2010-05-18,21:52:37.850000000
7,99,3,ApproveAfterChange,Nathalie Landry,http://review.couchbase.org/#/c/99/3,2010-05-18,21:51:26.366000000,2010-05-19,06:04:20.230000000
9,709,2,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/709/2,,,2010-06-19,19:16:45.865000000
11,710,2,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/710/2,,,2010-06-19,19:17:45.662000000
12,711,1,Rejected,Magdalena Oconnell,http://review.couchbase.org/#/c/711/1,2010-06-19,19:11:44.699000000,2010-06-19,19:11:44.699000000
14,712,2,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/712/2,,,2010-06-19,19:20:10.619000000
15,713,1,Rejected,Magdalena Oconnell,http://review.couchbase.org/#/c/713/1,2010-06-19,19:11:26.261000000,2010-06-19,19:11:26.261000000
16,715,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/715/1,2010-06-19,22:01:14.584000000,2010-06-19,22:01:14.754000000
17,716,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/716/1,2010-06-19,22:02:17.545000000,2010-06-19,22:02:17.713000000
19,717,2,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/717/2,2010-06-19,21:43:08.325000000,2010-06-19,22:01:39.344000000
20,720,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/720/1,2010-06-19,23:16:55.769000000,2010-06-19,23:16:55.925000000
21,721,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/721/1,2010-06-19,22:58:57.850000000,2010-06-19,22:58:58.053000000
22,722,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/722/1,2010-06-19,23:16:20.407000000,2010-06-19,23:16:20.585000000
23,726,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/726/1,2010-06-20,00:32:24.393000000,2010-06-20,00:32:24.537000000
24,728,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/728/1,2010-06-20,02:17:45.051000000,2010-06-20,02:17:45.254000000
25,729,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/729/1,2010-06-20,02:18:06.572000000,2010-06-20,02:18:06.753000000
26,730,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/730/1,2010-06-20,02:19:13.342000000,2010-06-20,02:19:13.520000000
27,731,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/731/1,2010-06-20,02:21:11.710000000,2010-06-20,02:21:11.925000000
28,732,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/732/1,2010-06-20,02:21:48.535000000,2010-06-20,02:21:48.689000000
29,734,1,Rejected,Kaya Pitts,http://review.couchbase.org/#/c/734/1,2010-06-20,07:22:20.825000000,2010-06-21,01:32:16.768000000
31,735,2,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/735/2,2010-06-20,15:49:33.513000000,2010-07-06,21:45:11.169000000
32,738,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/738/1,2010-06-20,19:28:31.550000000,2010-06-20,19:28:31.715000000
33,739,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/739/1,2010-06-20,19:30:35.791000000,2010-06-20,19:30:36.063000000
34,740,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/740/1,2010-06-20,19:33:20.791000000,2010-06-20,19:33:21.063000000
35,741,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/741/1,2010-06-20,19:34:32.908000000,2010-06-20,19:34:33.070000000
36,744,1,DirectlyApprove,Nora Conway,http://review.couchbase.org/#/c/744/1,2010-06-20,20:14:15.704000000,2010-06-20,20:14:15.863000000
37,745,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/745/1,2010-06-20,20:15:10.511000000,2010-06-20,20:15:10.766000000
39,747,2,Rejected,Kaya Pitts,http://review.couchbase.org/#/c/747/2,2010-06-21,21:39:50.724000000,2010-06-22,10:30:29.035000000
41,748,2,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/748/2,,,2010-06-21,17:42:08.397000000
43,749,2,Rejected,Nathalie Landry,http://review.couchbase.org/#/c/749/2,2010-06-20,20:21:03.752000000,2010-06-21,21:36:58.748000000
44,751,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/751/1,2010-06-21,00:08:50.216000000,2010-06-21,00:08:50.408000000
45,752,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/752/1,2010-06-21,00:26:17.676000000,2010-06-21,00:26:17.861000000
46,753,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/753/1,2010-06-21,00:28:56.958000000,2010-06-21,00:28:57.134000000
47,754,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/754/1,2010-06-21,00:53:53.348000000,2010-06-21,00:53:53.551000000
49,755,2,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/755/2,,,2010-06-21,01:25:24.059000000
54,756,5,ApproveAfterChange,Magdalena Oconnell,http://review.couchbase.org/#/c/756/5,2010-06-21,01:44:31.150000000,2010-06-21,01:59:52.397000000
57,757,3,ApproveAfterChange,Kaya Pitts,http://review.couchbase.org/#/c/757/3,2010-06-21,02:14:05.732000000,2010-06-21,02:19:26.307000000
61,758,4,ApproveAfterChange,Magdalena Oconnell,http://review.couchbase.org/#/c/758/4,,,2010-06-21,02:00:29.168000000
62,760,1,DirectlyApprove,Andreas Short,http://review.couchbase.org/#/c/760/1,2010-06-21,02:10:15.185000000,2010-06-21,02:10:15.402000000
63,761,1,DirectlyApprove,Andreas Short,http://review.couchbase.org/#/c/761/1,2010-06-21,02:10:55.546000000,2010-06-21,02:10:55.725000000
64,775,1,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/775/1,2010-06-21,17:11:54.092000000,2010-06-21,17:11:54.294000000
65,776,1,Rejected,Emiliano Leblanc,http://review.couchbase.org/#/c/776/1,2010-06-21,12:42:18.089000000,2010-06-21,12:42:18.089000000
66,777,1,Rejected,Emiliano Leblanc,http://review.couchbase.org/#/c/777/1,2010-06-21,12:42:27.232000000,2010-06-21,12:42:27.232000000
67,778,1,DirectlyApprove,Emiliano Leblanc,http://review.couchbase.org/#/c/778/1,2010-06-21,18:09:52.262000000,2010-06-21,18:09:52.446000000
68,779,1,DirectlyApprove,Emiliano Leblanc,http://review.couchbase.org/#/c/779/1,2010-06-21,18:18:46.747000000,2010-06-21,18:18:46.929000000
69,780,1,DirectlyApprove,Emiliano Leblanc,http://review.couchbase.org/#/c/780/1,2010-06-21,18:21:49.315000000,2010-06-21,18:21:49.851000000
70,783,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/783/1,2010-06-21,17:33:37.536000000,2010-06-21,17:33:37.711000000
71,784,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/784/1,2010-06-21,17:41:01.933000000,2010-06-21,17:41:02.146000000
72,789,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/789/1,2010-06-21,18:51:21.988000000,2010-06-21,18:51:28.001000000
73,791,1,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/791/1,2010-06-21,22:23:09.407000000,2010-06-21,22:23:09.585000000
74,792,1,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/792/1,2010-06-21,22:29:09.018000000,2010-06-21,22:29:17.703000000
75,793,1,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/793/1,2010-06-21,22:29:40.558000000,2010-06-21,22:29:40.758000000
76,794,1,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/794/1,2010-06-21,22:30:29.778000000,2010-06-21,22:30:29.965000000
77,795,1,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/795/1,2010-06-21,22:31:03.495000000,2010-06-21,22:31:03.664000000
