,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
2,6617,3,ApproveAfterChange,Nathanael Holden,https://git.eclipse.org/r/#/c/6617/3,,,2012-07-05,14:58:11.000000000
3,6618,1,DirectlyApprove,Dayana Summers,https://git.eclipse.org/r/#/c/6618/1,2012-07-04,21:13:36.000000000,2012-07-04,21:14:09.000000000
4,6619,1,DirectlyApprove,Dayana Summers,https://git.eclipse.org/r/#/c/6619/1,2012-07-04,21:16:43.000000000,2012-07-04,21:16:44.000000000
5,6620,1,DirectlyApprove,Dayana Summers,https://git.eclipse.org/r/#/c/6620/1,2012-07-04,21:18:12.000000000,2012-07-04,21:18:13.000000000
6,6621,1,DirectlyApprove,Dayana Summers,https://git.eclipse.org/r/#/c/6621/1,2012-07-04,21:17:48.000000000,2012-07-04,21:18:12.000000000
7,6622,1,DirectlyApprove,Nathanael Holden,https://git.eclipse.org/r/#/c/6622/1,2012-07-04,21:35:34.000000000,2012-07-04,21:36:01.000000000
8,6623,1,DirectlyApprove,Dayana Summers,https://git.eclipse.org/r/#/c/6623/1,2012-07-04,21:52:08.000000000,2012-07-04,21:52:08.000000000
9,6624,1,DirectlyApprove,Dayana Summers,https://git.eclipse.org/r/#/c/6624/1,2012-07-04,21:52:28.000000000,2012-07-04,21:52:28.000000000
10,6627,1,DirectlyApprove,Dayana Summers,https://git.eclipse.org/r/#/c/6627/1,2012-07-05,13:26:33.000000000,2012-07-05,13:26:33.000000000
11,6637,1,DirectlyApprove,Erick Ross,https://git.eclipse.org/r/#/c/6637/1,2012-07-05,16:18:46.000000000,2012-07-05,16:19:11.000000000
12,6639,1,DirectlyApprove,Dayana Summers,https://git.eclipse.org/r/#/c/6639/1,2012-07-05,17:46:13.000000000,2012-07-05,17:46:13.000000000
17,6640,5,ApproveAfterChange,Octavio Lucero,https://git.eclipse.org/r/#/c/6640/5,,,2012-07-13,14:54:56.000000000
18,6657,1,Rejected,Octavio Lucero,https://git.eclipse.org/r/#/c/6657/1,2012-07-09,14:17:33.000000000,2012-07-09,14:17:33.000000000
19,6684,1,DirectlyApprove,Braxton Mccarthy,https://git.eclipse.org/r/#/c/6684/1,2012-07-13,17:17:16.000000000,2012-07-13,17:17:16.000000000
25,6699,6,Rejected,Octavio Lucero,https://git.eclipse.org/r/#/c/6699/6,2012-07-13,10:56:43.000000000,2013-04-17,21:04:08.000000000
26,6740,1,DirectlyApprove,Octavio Lucero,https://git.eclipse.org/r/#/c/6740/1,2012-07-13,10:03:07.000000000,2012-07-13,10:03:08.000000000
27,6741,1,DirectlyApprove,Janet Compton,https://git.eclipse.org/r/#/c/6741/1,2012-07-12,18:13:00.000000000,2012-07-12,18:13:00.000000000
28,6742,1,DirectlyApprove,Braxton Mccarthy,https://git.eclipse.org/r/#/c/6742/1,2012-07-13,17:17:36.000000000,2012-07-13,17:17:36.000000000
29,6746,1,DirectlyApprove,Janet Compton,https://git.eclipse.org/r/#/c/6746/1,2012-07-12,20:05:53.000000000,2012-07-12,20:05:54.000000000
30,6747,1,DirectlyApprove,Ivy Mitchell,https://git.eclipse.org/r/#/c/6747/1,2012-07-12,20:49:07.000000000,2012-07-12,20:49:25.000000000
31,6748,1,Rejected,Ivy Mitchell,https://git.eclipse.org/r/#/c/6748/1,2012-07-12,21:30:56.000000000,2012-07-13,18:32:37.000000000
32,6749,1,Rejected,Ivy Mitchell,https://git.eclipse.org/r/#/c/6749/1,2012-07-13,18:33:04.000000000,2012-07-13,18:33:04.000000000
33,6751,1,Rejected,Braxton Mccarthy,https://git.eclipse.org/r/#/c/6751/1,2012-07-12,22:18:36.000000000,2012-07-12,22:18:36.000000000
34,6764,1,DirectlyApprove,Luciana Barry,https://git.eclipse.org/r/#/c/6764/1,2012-07-13,14:58:15.000000000,2012-07-13,14:59:56.000000000
35,6766,1,DirectlyApprove,Luciana Barry,https://git.eclipse.org/r/#/c/6766/1,2012-07-13,18:31:16.000000000,2012-07-13,18:31:16.000000000
37,6767,2,DirectlyApprove,Ivy Mitchell,https://git.eclipse.org/r/#/c/6767/2,2012-07-13,19:58:18.000000000,2012-07-13,20:33:20.000000000
40,6769,3,ApproveAfterChange,Ivy Mitchell,https://git.eclipse.org/r/#/c/6769/3,2012-07-13,20:03:49.000000000,2012-11-16,19:46:13.000000000
41,6770,1,DirectlyApprove,Luciana Barry,https://git.eclipse.org/r/#/c/6770/1,2012-07-16,19:19:39.000000000,2012-07-16,19:19:40.000000000
43,6771,2,DirectlyApprove,Luciana Barry,https://git.eclipse.org/r/#/c/6771/2,2012-07-16,15:53:50.000000000,2012-07-16,20:54:42.000000000
44,6794,1,DirectlyApprove,Braxton Mccarthy,https://git.eclipse.org/r/#/c/6794/1,2012-07-16,18:54:23.000000000,2012-07-16,18:54:23.000000000
45,6795,1,DirectlyApprove,Braxton Mccarthy,https://git.eclipse.org/r/#/c/6795/1,2012-07-16,18:55:00.000000000,2012-07-16,18:55:00.000000000
47,6796,2,DirectlyApprove,Braxton Mccarthy,https://git.eclipse.org/r/#/c/6796/2,,,2012-07-16,18:55:25.000000000
48,6799,1,DirectlyApprove,Luciana Barry,https://git.eclipse.org/r/#/c/6799/1,2012-07-16,20:20:32.000000000,2012-07-16,20:31:25.000000000
50,6800,2,DirectlyApprove,Luciana Barry,https://git.eclipse.org/r/#/c/6800/2,2012-07-16,20:34:27.000000000,2012-07-16,21:05:00.000000000
52,6807,2,DirectlyApprove,Luciana Barry,https://git.eclipse.org/r/#/c/6807/2,2012-07-17,17:35:43.000000000,2012-07-17,18:22:05.000000000
53,6815,1,DirectlyApprove,Luciana Barry,https://git.eclipse.org/r/#/c/6815/1,2012-07-17,18:45:01.000000000,2012-07-17,20:43:42.000000000
64,6817,11,ApproveAfterChange,Ivy Mitchell,https://git.eclipse.org/r/#/c/6817/11,2012-07-17,15:20:14.000000000,2012-07-19,23:21:36.000000000
65,6826,1,DirectlyApprove,Braxton Mccarthy,https://git.eclipse.org/r/#/c/6826/1,2012-07-17,21:27:37.000000000,2012-07-17,21:33:36.000000000
66,6845,1,DirectlyApprove,Octavio Lucero,https://git.eclipse.org/r/#/c/6845/1,2012-07-19,12:15:25.000000000,2012-07-19,12:15:26.000000000
67,6850,1,DirectlyApprove,Luciana Barry,https://git.eclipse.org/r/#/c/6850/1,2012-07-18,19:53:54.000000000,2012-07-18,20:10:27.000000000
68,6851,1,DirectlyApprove,Braxton Mccarthy,https://git.eclipse.org/r/#/c/6851/1,2012-07-18,20:55:40.000000000,2012-07-19,14:31:19.000000000
