review_number,revision_number,status,author,url,close_date,close_time
12027,1,Rejected,Emerson Nolan,http://review.couchbase.org/#/c/12027/1,2012-01-03,22:45:23.491000000
12050,5,ApproveAfterChange,Emerson Nolan,http://review.couchbase.org/#/c/12050/5,2012-01-09,00:39:32.532000000
12051,1,Rejected,Emerson Nolan,http://review.couchbase.org/#/c/12051/1,2012-01-04,21:45:08.738000000
12096,1,DirectlyApprove,Emerson Nolan,http://review.couchbase.org/#/c/12096/1,2012-01-09,03:11:36.499000000
12144,1,Rejected,Harold Hull,http://review.couchbase.org/#/c/12144/1,2012-01-09,00:31:44.329000000
12148,1,Rejected,Harold Hull,http://review.couchbase.org/#/c/12148/1,2012-01-09,00:39:22.221000000
12149,1,Rejected,Emerson Nolan,http://review.couchbase.org/#/c/12149/1,2012-01-08,21:47:50.404000000
12150,1,DirectlyApprove,Harold Hull,http://review.couchbase.org/#/c/12150/1,2012-01-09,00:27:00.069000000
12151,1,DirectlyApprove,Harold Hull,http://review.couchbase.org/#/c/12151/1,2012-01-09,00:32:00.482000000
12159,3,ApproveAfterChange,Harold Hull,http://review.couchbase.org/#/c/12159/3,2012-01-11,02:33:39.376000000
12160,3,ApproveAfterChange,Emerson Nolan,http://review.couchbase.org/#/c/12160/3,2012-01-11,02:02:00.101000000
12285,3,ApproveAfterChange,Harold Hull,http://review.couchbase.org/#/c/12285/3,2012-01-15,22:11:34.501000000
12384,1,DirectlyApprove,Harold Hull,http://review.couchbase.org/#/c/12384/1,2012-01-15,22:11:44.667000000
12554,1,Rejected,Emerson Nolan,http://review.couchbase.org/#/c/12554/1,2012-01-22,11:23:10.969000000
12557,1,Rejected,Cory Peck,http://review.couchbase.org/#/c/12557/1,2012-02-07,07:45:21.478000000
12561,1,Rejected,Cory Peck,http://review.couchbase.org/#/c/12561/1,2012-01-22,05:13:35.181000000
12576,4,ApproveAfterChange,Cory Peck,http://review.couchbase.org/#/c/12576/4,2012-01-22,12:10:17.938000000
12577,3,ApproveAfterChange,Emerson Nolan,http://review.couchbase.org/#/c/12577/3,2012-01-22,12:10:00.473000000
12578,4,ApproveAfterChange,Emerson Nolan,http://review.couchbase.org/#/c/12578/4,2012-01-22,12:10:31.129000000
12580,1,Rejected,Cory Peck,http://review.couchbase.org/#/c/12580/1,2012-01-22,12:08:44.052000000
12582,1,Rejected,Cory Peck,http://review.couchbase.org/#/c/12582/1,2012-01-22,18:39:45.604000000
12583,1,DirectlyApprove,Cory Peck,http://review.couchbase.org/#/c/12583/1,2012-01-22,18:42:07.207000000
12674,2,DirectlyApprove,Harold Hull,http://review.couchbase.org/#/c/12674/2,2012-01-26,01:56:05.447000000
12687,2,Rejected,Harold Hull,http://review.couchbase.org/#/c/12687/2,2012-01-26,03:26:13.392000000
12688,3,ApproveAfterChange,Harold Hull,http://review.couchbase.org/#/c/12688/3,2012-01-26,03:27:03.869000000
12689,3,ApproveAfterChange,Harold Hull,http://review.couchbase.org/#/c/12689/3,2012-01-26,03:28:38.911000000
