review_number,revision_number,status,author,url,close_date,close_time
79,3,ApproveAfterChange,Nathalie Landry,http://review.couchbase.org/#/c/79/3,2010-05-17,18:40:52.645000000
96,1,Rejected,Nathalie Landry,http://review.couchbase.org/#/c/96/1,2010-05-18,21:13:02.949000000
98,1,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/98/1,2010-05-18,21:52:37.850000000
99,3,ApproveAfterChange,Nathalie Landry,http://review.couchbase.org/#/c/99/3,2010-05-19,06:04:20.230000000
709,2,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/709/2,2010-06-19,19:16:45.865000000
710,2,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/710/2,2010-06-19,19:17:45.662000000
711,1,Rejected,Magdalena Oconnell,http://review.couchbase.org/#/c/711/1,2010-06-19,19:11:44.699000000
712,2,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/712/2,2010-06-19,19:20:10.619000000
713,1,Rejected,Magdalena Oconnell,http://review.couchbase.org/#/c/713/1,2010-06-19,19:11:26.261000000
715,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/715/1,2010-06-19,22:01:14.754000000
716,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/716/1,2010-06-19,22:02:17.713000000
717,2,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/717/2,2010-06-19,22:01:39.344000000
720,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/720/1,2010-06-19,23:16:55.925000000
721,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/721/1,2010-06-19,22:58:58.053000000
722,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/722/1,2010-06-19,23:16:20.585000000
726,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/726/1,2010-06-20,00:32:24.537000000
728,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/728/1,2010-06-20,02:17:45.254000000
729,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/729/1,2010-06-20,02:18:06.753000000
730,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/730/1,2010-06-20,02:19:13.520000000
731,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/731/1,2010-06-20,02:21:11.925000000
732,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/732/1,2010-06-20,02:21:48.689000000
734,1,Rejected,Kaya Pitts,http://review.couchbase.org/#/c/734/1,2010-06-21,01:32:16.768000000
735,2,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/735/2,2010-07-06,21:45:11.169000000
738,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/738/1,2010-06-20,19:28:31.715000000
739,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/739/1,2010-06-20,19:30:36.063000000
740,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/740/1,2010-06-20,19:33:21.063000000
741,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/741/1,2010-06-20,19:34:33.070000000
744,1,DirectlyApprove,Nora Conway,http://review.couchbase.org/#/c/744/1,2010-06-20,20:14:15.863000000
745,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/745/1,2010-06-20,20:15:10.766000000
747,2,Rejected,Kaya Pitts,http://review.couchbase.org/#/c/747/2,2010-06-22,10:30:29.035000000
748,2,DirectlyApprove,Nathalie Landry,http://review.couchbase.org/#/c/748/2,2010-06-21,17:42:08.397000000
749,2,Rejected,Nathalie Landry,http://review.couchbase.org/#/c/749/2,2010-06-21,21:36:58.748000000
751,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/751/1,2010-06-21,00:08:50.408000000
752,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/752/1,2010-06-21,00:26:17.861000000
753,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/753/1,2010-06-21,00:28:57.134000000
754,1,DirectlyApprove,Magdalena Oconnell,http://review.couchbase.org/#/c/754/1,2010-06-21,00:53:53.551000000
