review_number,revision_number,status,author,url,close_date,close_time
25,4,ApproveAfterChange,Micheal West,http://review.couchbase.org/#/c/25/4,2010-05-27,02:46:20.919000000
269,1,DirectlyApprove,Jakob Lozano,http://review.couchbase.org/#/c/269/1,2010-06-02,21:10:22.641000000
286,1,Rejected,Jakob Lozano,http://review.couchbase.org/#/c/286/1,2010-06-03,20:14:18.420000000
287,1,Rejected,Jakob Lozano,http://review.couchbase.org/#/c/287/1,2010-06-03,20:14:48.165000000
288,1,Rejected,Jakob Lozano,http://review.couchbase.org/#/c/288/1,2010-06-03,20:14:41.393000000
289,1,Rejected,Jakob Lozano,http://review.couchbase.org/#/c/289/1,2010-06-03,20:14:31.782000000
290,1,DirectlyApprove,Jakob Lozano,http://review.couchbase.org/#/c/290/1,2010-06-03,22:08:25.580000000
292,2,DirectlyApprove,Jakob Lozano,http://review.couchbase.org/#/c/292/2,2010-06-08,18:38:00.192000000
416,1,DirectlyApprove,Jakob Lozano,http://review.couchbase.org/#/c/416/1,2010-06-12,00:46:02.019000000
561,1,DirectlyApprove,Jakob Lozano,http://review.couchbase.org/#/c/561/1,2010-06-15,18:55:57.199000000
563,4,ApproveAfterChange,Allan Henderson,http://review.couchbase.org/#/c/563/4,2010-06-16,16:49:30.289000000
569,1,Rejected,Allan Henderson,http://review.couchbase.org/#/c/569/1,2010-06-15,19:47:47.561000000
571,1,Rejected,Allan Henderson,http://review.couchbase.org/#/c/571/1,2010-06-15,20:19:44.289000000
572,1,Rejected,Allan Henderson,http://review.couchbase.org/#/c/572/1,2010-06-15,20:40:18.636000000
574,1,Rejected,Allan Henderson,http://review.couchbase.org/#/c/574/1,2010-06-15,20:40:32.715000000
629,1,Rejected,Allan Henderson,http://review.couchbase.org/#/c/629/1,2010-06-17,18:14:09.524000000
630,5,ApproveAfterChange,Allan Henderson,http://review.couchbase.org/#/c/630/5,2010-06-17,18:36:57.028000000
919,1,DirectlyApprove,Noah Dean,http://review.couchbase.org/#/c/919/1,2010-06-26,06:14:44.091000000
920,1,DirectlyApprove,Edward Gay,http://review.couchbase.org/#/c/920/1,2010-06-26,06:15:33.480000000
935,1,DirectlyApprove,Jakob Lozano,http://review.couchbase.org/#/c/935/1,2010-06-30,08:39:19.888000000
936,1,DirectlyApprove,Jakob Lozano,http://review.couchbase.org/#/c/936/1,2010-06-30,08:39:43.815000000
999,2,DirectlyApprove,Allan Henderson,http://review.couchbase.org/#/c/999/2,2010-07-18,22:28:20.995000000
1228,1,Rejected,Allan Henderson,http://review.couchbase.org/#/c/1228/1,2010-07-18,22:26:15.654000000
2698,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2698/1,2010-10-19,16:17:46.896000000
2699,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2699/1,2010-10-19,16:18:06.835000000
2700,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2700/1,2010-10-19,16:18:22.044000000
2701,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2701/1,2010-10-19,16:18:35.430000000
2702,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2702/1,2010-10-19,16:19:06.625000000
2896,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2896/1,2010-10-19,16:40:30.324000000
2897,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2897/1,2010-10-19,16:40:42.157000000
2898,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2898/1,2010-10-19,16:41:52.995000000
2899,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2899/1,2010-10-19,16:43:21.980000000
2900,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2900/1,2010-10-19,16:43:35.424000000
2901,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2901/1,2010-10-19,16:43:43.812000000
2902,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2902/1,2010-10-19,16:43:57.835000000
2903,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2903/1,2010-10-19,16:44:07.311000000
2904,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2904/1,2010-10-19,16:44:17.959000000
2905,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2905/1,2010-10-19,16:44:26.273000000
2907,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2907/1,2011-01-20,18:46:03.132000000
2908,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2908/1,2011-01-20,18:45:48.796000000
2909,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2909/1,2011-01-20,18:45:35.471000000
2910,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2910/1,2011-01-20,18:45:22.907000000
2911,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/2911/1,2011-01-20,18:45:11.647000000
3224,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/3224/1,2011-01-20,18:44:56.491000000
3225,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/3225/1,2011-01-20,18:44:37.634000000
3226,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/3226/1,2011-01-20,18:44:25.191000000
3227,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/3227/1,2011-01-20,18:44:07.438000000
3438,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/3438/1,2011-01-20,18:43:55.346000000
3617,2,Rejected,Riley Mcmillan,http://review.couchbase.org/#/c/3617/2,2011-05-23,23:30:15.517000000
3640,1,DirectlyApprove,Jakob Lozano,http://review.couchbase.org/#/c/3640/1,2011-01-07,23:41:20.131000000
3641,2,DirectlyApprove,Jakob Lozano,http://review.couchbase.org/#/c/3641/2,2011-01-09,00:56:44.538000000
3850,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/3850/1,2011-01-20,18:43:31.232000000
3851,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/3851/1,2011-01-20,18:43:16.836000000
3852,1,Rejected,Alonzo Keller,http://review.couchbase.org/#/c/3852/1,2011-01-20,18:43:02.760000000
4204,6,ApproveAfterChange,Andreas Short,http://review.couchbase.org/#/c/4204/6,2011-01-10,18:52:38.759000000
4205,4,Rejected,Andreas Short,http://review.couchbase.org/#/c/4205/4,2011-01-04,23:52:33.519000000
4206,6,ApproveAfterChange,Andreas Short,http://review.couchbase.org/#/c/4206/6,2011-01-10,18:56:46.688000000
4207,6,ApproveAfterChange,Andreas Short,http://review.couchbase.org/#/c/4207/6,2011-01-10,18:54:29.014000000
4208,6,ApproveAfterChange,Andreas Short,http://review.couchbase.org/#/c/4208/6,2011-01-10,18:54:51.771000000
4209,6,ApproveAfterChange,Andreas Short,http://review.couchbase.org/#/c/4209/6,2011-01-10,18:56:32.726000000
4210,6,ApproveAfterChange,Andreas Short,http://review.couchbase.org/#/c/4210/6,2011-01-10,18:55:48.962000000
