,close_date,ApproveAfterChange,DirectlyApprove,Rejected,TotalCommit,DirectlyApproveRate,ApproveAfterChangeRate,CloseToReleaseDate
0,2012-01-03,0.0,0.0,1.0,1.0,0.0,0.0,False
1,2012-01-04,0.0,0.0,1.0,1.0,0.0,0.0,False
2,2012-01-08,0.0,0.0,1.0,1.0,0.0,0.0,True
3,2012-01-09,1.0,3.0,2.0,6.0,0.5,0.16666666666666666,False
4,2012-01-11,2.0,0.0,0.0,2.0,0.0,1.0,False
5,2012-01-15,1.0,1.0,0.0,2.0,0.5,0.5,False
6,2012-01-22,3.0,1.0,4.0,8.0,0.125,0.375,True
7,2012-01-26,2.0,2.0,1.0,5.0,0.4,0.4,True
8,2012-02-01,1.0,0.0,0.0,1.0,0.0,1.0,False
9,2012-02-06,1.0,0.0,0.0,1.0,0.0,1.0,False
10,2012-02-07,0.0,0.0,1.0,1.0,0.0,0.0,False
11,2012-02-08,1.0,0.0,0.0,1.0,0.0,1.0,False
12,2012-02-13,0.0,1.0,0.0,1.0,1.0,0.0,False
13,2012-02-20,2.0,3.0,2.0,7.0,0.42857142857142855,0.2857142857142857,False
14,2012-03-12,1.0,1.0,0.0,2.0,0.5,0.5,False
15,2012-03-21,2.0,0.0,1.0,3.0,0.0,0.6666666666666666,True
16,2012-03-22,0.0,2.0,0.0,2.0,1.0,0.0,True
17,2012-04-04,0.0,0.0,1.0,1.0,0.0,0.0,True
18,2012-04-05,2.0,3.0,0.0,5.0,0.6,0.4,True
19,2012-04-30,0.0,1.0,0.0,1.0,1.0,0.0,True
20,2012-05-22,0.0,2.0,0.0,2.0,1.0,0.0,False
21,2012-06-02,1.0,2.0,0.0,3.0,0.6666666666666666,0.3333333333333333,False
22,2012-06-04,0.0,3.0,0.0,3.0,1.0,0.0,False
23,2012-06-05,0.0,1.0,1.0,2.0,0.5,0.0,False
24,2012-06-29,1.0,2.0,0.0,3.0,0.6666666666666666,0.3333333333333333,False
25,2012-07-11,0.0,1.0,0.0,1.0,1.0,0.0,False
26,2012-07-12,2.0,0.0,0.0,2.0,0.0,1.0,False
27,2012-07-20,0.0,1.0,1.0,2.0,0.5,0.0,False
28,2012-07-24,2.0,1.0,0.0,3.0,0.3333333333333333,0.6666666666666666,False
29,2012-07-25,0.0,2.0,0.0,2.0,1.0,0.0,False
30,2012-07-30,1.0,3.0,0.0,4.0,0.75,0.25,True
31,2012-07-31,0.0,1.0,1.0,2.0,0.5,0.0,True
32,2012-08-08,1.0,0.0,0.0,1.0,0.0,1.0,False
33,2012-08-11,0.0,1.0,0.0,1.0,1.0,0.0,False
34,2012-08-14,0.0,1.0,4.0,5.0,0.2,0.0,False
35,2012-08-18,1.0,1.0,0.0,2.0,0.5,0.5,False
36,2012-08-19,16.0,0.0,0.0,16.0,0.0,1.0,True
37,2012-08-20,0.0,3.0,0.0,3.0,1.0,0.0,True
38,2012-08-21,0.0,1.0,0.0,1.0,1.0,0.0,False
39,2012-09-18,0.0,0.0,1.0,1.0,0.0,0.0,False
40,2012-09-27,0.0,0.0,1.0,1.0,0.0,0.0,False
41,2012-10-03,0.0,0.0,1.0,1.0,0.0,0.0,False
42,2012-10-06,0.0,0.0,3.0,3.0,0.0,0.0,False
43,2012-11-06,0.0,0.0,2.0,2.0,0.0,0.0,True
44,2012-11-08,0.0,0.0,2.0,2.0,0.0,0.0,False
45,2012-11-15,0.0,0.0,1.0,1.0,0.0,0.0,False
46,2012-11-29,0.0,0.0,1.0,1.0,0.0,0.0,False
47,2012-12-02,0.0,0.0,1.0,1.0,0.0,0.0,True
48,2012-12-03,1.0,0.0,1.0,2.0,0.0,0.5,True
49,2013-01-15,0.0,0.0,1.0,1.0,0.0,0.0,False
50,2013-02-19,0.0,0.0,1.0,1.0,0.0,0.0,False
51,2013-02-21,0.0,0.0,1.0,1.0,0.0,0.0,False
