,close_date,ApproveAfterChange,DirectlyApprove,Rejected,TotalCommit,ApprovalRate,CloseToReleaseDate
0,2011-02-03,0.0,0.0,2.0,2.0,0.0,True
1,2011-02-04,0.0,2.0,0.0,2.0,1.0,True
2,2011-02-09,2.0,1.0,1.0,4.0,0.25,False
3,2011-02-11,0.0,1.0,2.0,3.0,0.3333333333333333,False
4,2011-02-12,0.0,0.0,1.0,1.0,0.0,False
5,2011-02-14,1.0,2.0,0.0,3.0,0.6666666666666666,True
6,2011-02-15,0.0,3.0,0.0,3.0,1.0,False
7,2011-02-16,7.0,2.0,1.0,10.0,0.2,False
8,2011-02-17,0.0,5.0,1.0,6.0,0.8333333333333334,False
9,2011-02-18,0.0,3.0,0.0,3.0,1.0,False
10,2011-02-19,0.0,1.0,1.0,2.0,0.5,False
11,2011-02-20,0.0,1.0,0.0,1.0,1.0,False
12,2011-02-21,0.0,1.0,0.0,1.0,1.0,False
13,2011-02-22,0.0,2.0,1.0,3.0,0.6666666666666666,False
14,2011-02-24,0.0,1.0,0.0,1.0,1.0,False
15,2011-02-25,2.0,4.0,1.0,7.0,0.5714285714285714,False
16,2011-02-28,6.0,2.0,9.0,17.0,0.1176470588235294,False
17,2011-03-01,1.0,4.0,0.0,5.0,0.8,False
18,2011-03-02,0.0,2.0,0.0,2.0,1.0,False
19,2011-03-06,0.0,4.0,0.0,4.0,1.0,False
20,2011-03-07,0.0,3.0,0.0,3.0,1.0,False
21,2011-03-08,0.0,4.0,0.0,4.0,1.0,False
22,2011-03-09,0.0,1.0,0.0,1.0,1.0,False
23,2011-03-10,1.0,1.0,0.0,2.0,0.5,False
24,2011-03-14,1.0,3.0,0.0,4.0,0.75,True
25,2011-03-15,0.0,1.0,1.0,2.0,0.5,True
26,2011-03-16,1.0,2.0,0.0,3.0,0.6666666666666666,True
27,2011-03-18,0.0,3.0,0.0,3.0,1.0,True
28,2011-03-19,0.0,0.0,1.0,1.0,0.0,False
29,2011-03-20,2.0,1.0,0.0,3.0,0.3333333333333333,False
30,2011-03-21,12.0,1.0,1.0,14.0,0.07142857142857142,False
31,2011-03-22,15.0,7.0,0.0,22.0,0.3181818181818182,False
32,2011-03-23,0.0,4.0,0.0,4.0,1.0,True
33,2011-03-24,0.0,3.0,0.0,3.0,1.0,True
34,2011-03-25,2.0,3.0,0.0,5.0,0.6,True
35,2011-03-26,0.0,2.0,0.0,2.0,1.0,True
36,2011-03-28,0.0,5.0,0.0,5.0,1.0,False
37,2011-03-29,0.0,3.0,1.0,4.0,0.75,False
38,2011-03-30,0.0,2.0,0.0,2.0,1.0,False
39,2011-03-31,1.0,3.0,0.0,4.0,0.75,False
40,2011-04-01,1.0,0.0,0.0,1.0,0.0,False
41,2011-04-02,1.0,3.0,0.0,4.0,0.75,False
42,2011-04-04,1.0,1.0,0.0,2.0,0.5,False
43,2011-04-06,0.0,5.0,1.0,6.0,0.8333333333333334,False
44,2011-04-07,0.0,1.0,0.0,1.0,1.0,False
45,2011-04-09,1.0,1.0,0.0,2.0,0.5,False
46,2011-04-11,0.0,5.0,1.0,6.0,0.8333333333333334,False
47,2011-04-12,3.0,4.0,0.0,7.0,0.5714285714285714,False
48,2011-04-13,0.0,4.0,0.0,4.0,1.0,False
49,2011-04-14,0.0,4.0,0.0,4.0,1.0,False
50,2011-04-15,0.0,2.0,0.0,2.0,1.0,False
51,2011-04-16,2.0,1.0,0.0,3.0,0.3333333333333333,False
52,2011-04-17,1.0,1.0,0.0,2.0,0.5,False
53,2011-04-18,0.0,1.0,0.0,1.0,1.0,False
54,2011-04-19,0.0,6.0,2.0,8.0,0.75,False
55,2011-04-20,0.0,2.0,0.0,2.0,1.0,False
56,2011-04-21,0.0,5.0,0.0,5.0,1.0,False
57,2011-04-22,1.0,2.0,0.0,3.0,0.6666666666666666,False
58,2011-04-23,1.0,0.0,0.0,1.0,0.0,False
59,2011-04-25,0.0,7.0,0.0,7.0,1.0,False
60,2011-04-26,1.0,4.0,3.0,8.0,0.5,False
