,close_date,ApproveAfterChange,DirectlyApprove,Rejected,TotalCommit,DirectlyApproveRate,ApproveAfterChangeRate,CloseToReleaseDate
0,2009-10-01,0.0,1.0,0.0,1.0,1.0,0.0,False
1,2009-10-02,0.0,1.0,1.0,2.0,0.5,0.0,False
2,2009-10-05,5.0,2.0,0.0,7.0,0.2857142857142857,0.7142857142857143,False
3,2009-10-06,0.0,5.0,0.0,5.0,1.0,0.0,False
4,2009-10-07,0.0,0.0,1.0,1.0,0.0,0.0,False
5,2009-10-08,1.0,2.0,1.0,4.0,0.5,0.25,False
6,2009-10-09,0.0,1.0,0.0,1.0,1.0,0.0,False
7,2009-10-10,0.0,0.0,2.0,2.0,0.0,0.0,False
8,2009-10-16,0.0,3.0,0.0,3.0,1.0,0.0,False
9,2009-10-18,0.0,0.0,4.0,4.0,0.0,0.0,False
10,2009-10-20,0.0,0.0,1.0,1.0,0.0,0.0,False
11,2009-10-31,1.0,5.0,1.0,7.0,0.7142857142857143,0.14285714285714285,False
12,2009-11-01,0.0,1.0,12.0,13.0,0.07692307692307693,0.0,False
13,2009-11-03,8.0,2.0,0.0,10.0,0.2,0.8,False
14,2009-11-04,1.0,3.0,0.0,4.0,0.75,0.25,False
15,2009-11-16,0.0,0.0,1.0,1.0,0.0,0.0,False
16,2009-11-17,0.0,1.0,0.0,1.0,1.0,0.0,False
17,2009-12-01,0.0,1.0,1.0,2.0,0.5,0.0,False
18,2009-12-07,0.0,0.0,2.0,2.0,0.0,0.0,False
19,2009-12-11,0.0,0.0,3.0,3.0,0.0,0.0,False
20,2009-12-12,1.0,0.0,0.0,1.0,0.0,1.0,False
21,2009-12-18,1.0,0.0,0.0,1.0,0.0,1.0,False
22,2009-12-21,0.0,1.0,0.0,1.0,1.0,0.0,True
23,2009-12-22,1.0,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,False
24,2009-12-28,1.0,0.0,3.0,4.0,0.0,0.25,False
25,2009-12-29,3.0,2.0,1.0,6.0,0.3333333333333333,0.5,False
26,2010-01-04,2.0,0.0,0.0,2.0,0.0,1.0,False
27,2010-01-06,1.0,3.0,0.0,4.0,0.75,0.25,False
28,2010-01-07,1.0,2.0,0.0,3.0,0.6666666666666666,0.3333333333333333,False
29,2010-01-10,0.0,0.0,1.0,1.0,0.0,0.0,False
30,2010-01-12,16.0,3.0,0.0,19.0,0.15789473684210525,0.8421052631578947,False
31,2010-01-15,1.0,2.0,1.0,4.0,0.5,0.25,False
32,2010-01-16,0.0,1.0,0.0,1.0,1.0,0.0,False
33,2010-01-17,0.0,1.0,0.0,1.0,1.0,0.0,True
34,2010-01-18,0.0,0.0,3.0,3.0,0.0,0.0,True
