,close_date,ApproveAfterChange,DirectlyApprove,Rejected,TotalCommit,DirectlyApproveRate,ApproveAfterChangeRate,CloseToReleaseDate
0,2013-02-27,0.0,0.0,1.0,1.0,0.0,0.0,True
1,2013-03-05,0.0,2.0,2.0,4.0,0.5,0.0,True
2,2013-03-08,0.0,2.0,1.0,3.0,0.6666666666666666,0.0,True
3,2013-03-11,0.0,2.0,0.0,2.0,1.0,0.0,True
4,2013-03-12,2.0,0.0,0.0,2.0,0.0,1.0,True
5,2013-03-15,0.0,0.0,1.0,1.0,0.0,0.0,True
6,2013-03-18,2.0,1.0,1.0,4.0,0.25,0.5,True
7,2013-03-19,0.0,2.0,0.0,2.0,1.0,0.0,False
8,2013-03-22,0.0,0.0,1.0,1.0,0.0,0.0,False
9,2013-03-25,0.0,0.0,3.0,3.0,0.0,0.0,False
10,2013-03-27,0.0,0.0,1.0,1.0,0.0,0.0,False
11,2013-03-28,0.0,0.0,1.0,1.0,0.0,0.0,False
12,2013-04-01,0.0,1.0,0.0,1.0,1.0,0.0,True
13,2013-04-02,0.0,2.0,0.0,2.0,1.0,0.0,True
14,2013-04-05,1.0,0.0,0.0,1.0,0.0,1.0,False
15,2013-04-08,1.0,0.0,0.0,1.0,0.0,1.0,True
16,2013-04-09,3.0,0.0,0.0,3.0,0.0,1.0,True
17,2013-04-11,2.0,0.0,2.0,4.0,0.0,0.5,False
18,2013-04-12,1.0,1.0,0.0,2.0,0.5,0.5,False
19,2013-04-13,0.0,0.0,2.0,2.0,0.0,0.0,False
20,2013-04-15,0.0,0.0,3.0,3.0,0.0,0.0,True
21,2013-04-16,0.0,1.0,0.0,1.0,1.0,0.0,False
22,2013-04-17,2.0,3.0,0.0,5.0,0.6,0.4,False
23,2013-04-18,1.0,0.0,0.0,1.0,0.0,1.0,False
24,2013-04-19,2.0,1.0,0.0,3.0,0.3333333333333333,0.6666666666666666,False
25,2013-04-22,0.0,2.0,0.0,2.0,1.0,0.0,True
26,2013-04-23,0.0,0.0,1.0,1.0,0.0,0.0,False
27,2013-04-24,0.0,1.0,1.0,2.0,0.5,0.0,False
28,2013-04-25,1.0,0.0,0.0,1.0,0.0,1.0,False
29,2013-04-26,1.0,1.0,0.0,2.0,0.5,0.5,True
30,2013-04-27,0.0,1.0,0.0,1.0,1.0,0.0,True
31,2013-05-01,1.0,0.0,0.0,1.0,0.0,1.0,True
32,2013-05-03,1.0,0.0,1.0,2.0,0.0,0.5,False
33,2013-05-07,0.0,2.0,0.0,2.0,1.0,0.0,True
34,2013-05-08,0.0,1.0,0.0,1.0,1.0,0.0,True
35,2013-05-09,1.0,3.0,0.0,4.0,0.75,0.25,True
36,2013-05-10,1.0,0.0,0.0,1.0,0.0,1.0,True
37,2013-05-13,2.0,0.0,0.0,2.0,0.0,1.0,True
38,2013-05-14,2.0,2.0,0.0,4.0,0.5,0.5,True
39,2013-05-15,1.0,3.0,3.0,7.0,0.42857142857142855,0.14285714285714285,True
40,2013-05-16,1.0,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,True
41,2013-05-23,0.0,1.0,0.0,1.0,1.0,0.0,True
42,2013-05-29,1.0,0.0,0.0,1.0,0.0,1.0,True
43,2013-06-03,0.0,2.0,0.0,2.0,1.0,0.0,True
44,2013-06-11,0.0,0.0,1.0,1.0,0.0,0.0,False
45,2013-06-18,0.0,2.0,0.0,2.0,1.0,0.0,True
46,2013-06-20,0.0,2.0,0.0,2.0,1.0,0.0,False
47,2013-06-21,1.0,2.0,3.0,6.0,0.3333333333333333,0.16666666666666666,False
48,2013-06-24,0.0,3.0,0.0,3.0,1.0,0.0,True
49,2013-06-26,0.0,1.0,0.0,1.0,1.0,0.0,False
50,2013-07-15,0.0,1.0,1.0,2.0,0.5,0.0,True
51,2013-07-17,1.0,0.0,0.0,1.0,0.0,1.0,True
52,2013-07-18,0.0,2.0,0.0,2.0,1.0,0.0,False
53,2013-07-19,0.0,0.0,1.0,1.0,0.0,0.0,False
54,2013-07-22,1.0,1.0,0.0,2.0,0.5,0.5,True
55,2013-07-23,2.0,6.0,1.0,9.0,0.6666666666666666,0.2222222222222222,True
56,2013-07-24,2.0,1.0,0.0,3.0,0.3333333333333333,0.6666666666666666,True
57,2013-07-25,0.0,5.0,1.0,6.0,0.8333333333333334,0.0,False
58,2013-07-29,0.0,1.0,1.0,2.0,0.5,0.0,True
59,2013-07-31,4.0,5.0,7.0,16.0,0.3125,0.25,False
60,2013-08-01,0.0,3.0,3.0,6.0,0.5,0.0,True
61,2013-08-02,2.0,3.0,3.0,8.0,0.375,0.25,True
62,2013-08-03,0.0,0.0,1.0,1.0,0.0,0.0,True
63,2013-08-04,0.0,0.0,1.0,1.0,0.0,0.0,True
64,2013-08-09,0.0,0.0,1.0,1.0,0.0,0.0,False
65,2013-08-12,4.0,3.0,0.0,7.0,0.42857142857142855,0.5714285714285714,True
66,2013-08-13,2.0,2.0,3.0,7.0,0.2857142857142857,0.2857142857142857,True
67,2013-08-14,1.0,5.0,0.0,6.0,0.8333333333333334,0.16666666666666666,True
68,2013-08-16,1.0,0.0,0.0,1.0,0.0,1.0,False
69,2013-08-19,0.0,0.0,1.0,1.0,0.0,0.0,True
70,2013-08-20,1.0,3.0,0.0,4.0,0.75,0.25,True
71,2013-08-21,1.0,2.0,0.0,3.0,0.6666666666666666,0.3333333333333333,False
72,2013-08-22,0.0,0.0,2.0,2.0,0.0,0.0,False
73,2013-08-23,1.0,2.0,0.0,3.0,0.6666666666666666,0.3333333333333333,False
74,2013-08-26,0.0,1.0,0.0,1.0,1.0,0.0,True
75,2013-08-27,0.0,1.0,0.0,1.0,1.0,0.0,True
76,2013-08-28,1.0,0.0,0.0,1.0,0.0,1.0,True
77,2013-08-30,0.0,0.0,1.0,1.0,0.0,0.0,True
78,2013-09-03,0.0,0.0,1.0,1.0,0.0,0.0,True
79,2013-09-04,1.0,0.0,0.0,1.0,0.0,1.0,True
80,2013-09-09,1.0,0.0,3.0,4.0,0.0,0.25,True
81,2013-09-10,1.0,0.0,0.0,1.0,0.0,1.0,True
82,2013-09-11,0.0,1.0,0.0,1.0,1.0,0.0,True
83,2013-09-12,0.0,2.0,0.0,2.0,1.0,0.0,True
84,2013-09-13,2.0,0.0,0.0,2.0,0.0,1.0,True
85,2013-09-16,2.0,3.0,0.0,5.0,0.6,0.4,True
86,2013-09-17,0.0,2.0,1.0,3.0,0.6666666666666666,0.0,True
87,2013-09-18,0.0,1.0,0.0,1.0,1.0,0.0,True
88,2013-09-19,0.0,1.0,0.0,1.0,1.0,0.0,True
89,2013-09-20,3.0,4.0,0.0,7.0,0.5714285714285714,0.42857142857142855,True
90,2013-09-24,2.0,0.0,1.0,3.0,0.0,0.6666666666666666,True
91,2013-09-26,0.0,0.0,1.0,1.0,0.0,0.0,False
92,2013-09-27,1.0,1.0,0.0,2.0,0.5,0.5,False
93,2013-09-30,1.0,1.0,0.0,2.0,0.5,0.5,True
94,2013-10-01,0.0,3.0,0.0,3.0,1.0,0.0,False
