close_date,ApproveAfterChange,DirectlyApprove,Rejected,TotalReview,DirectlyApproveRate,ApproveAfterChangeRate,CloseToReleaseDate
2013-02-27,0.0,0.0,1.0,1.0,0.0,0.0,True
2013-03-05,0.0,2.0,2.0,4.0,0.5,0.0,True
2013-03-08,0.0,2.0,1.0,3.0,0.6666666666666666,0.0,True
2013-03-11,0.0,2.0,0.0,2.0,1.0,0.0,True
2013-03-12,2.0,0.0,0.0,2.0,0.0,1.0,True
2013-03-15,0.0,0.0,1.0,1.0,0.0,0.0,True
2013-03-18,2.0,1.0,1.0,4.0,0.25,0.5,True
2013-03-19,0.0,2.0,0.0,2.0,1.0,0.0,False
2013-03-22,0.0,0.0,1.0,1.0,0.0,0.0,False
2013-03-25,0.0,0.0,3.0,3.0,0.0,0.0,False
2013-03-27,0.0,0.0,1.0,1.0,0.0,0.0,False
2013-03-28,0.0,0.0,1.0,1.0,0.0,0.0,False
2013-04-01,0.0,1.0,0.0,1.0,1.0,0.0,True
2013-04-02,0.0,2.0,0.0,2.0,1.0,0.0,True
2013-04-05,1.0,0.0,0.0,1.0,0.0,1.0,False
2013-04-08,1.0,0.0,0.0,1.0,0.0,1.0,True
2013-04-09,3.0,0.0,0.0,3.0,0.0,1.0,True
2013-04-11,2.0,0.0,2.0,4.0,0.0,0.5,False
2013-04-12,1.0,1.0,0.0,2.0,0.5,0.5,False
2013-04-13,0.0,0.0,2.0,2.0,0.0,0.0,False
2013-04-15,0.0,0.0,3.0,3.0,0.0,0.0,True
2013-04-16,0.0,1.0,0.0,1.0,1.0,0.0,False
2013-04-17,2.0,3.0,0.0,5.0,0.6,0.4,False
2013-04-18,1.0,0.0,0.0,1.0,0.0,1.0,False
2013-04-19,2.0,1.0,0.0,3.0,0.3333333333333333,0.6666666666666666,False
2013-04-22,0.0,2.0,0.0,2.0,1.0,0.0,True
2013-04-23,0.0,0.0,1.0,1.0,0.0,0.0,False
2013-04-24,0.0,1.0,1.0,2.0,0.5,0.0,False
2013-04-25,1.0,0.0,0.0,1.0,0.0,1.0,False
2013-04-26,1.0,1.0,0.0,2.0,0.5,0.5,True
2013-04-27,0.0,1.0,0.0,1.0,1.0,0.0,True
2013-05-01,1.0,0.0,0.0,1.0,0.0,1.0,True
2013-05-03,1.0,0.0,1.0,2.0,0.0,0.5,False
2013-05-07,0.0,2.0,0.0,2.0,1.0,0.0,True
2013-05-08,0.0,1.0,0.0,1.0,1.0,0.0,True
2013-05-09,1.0,3.0,0.0,4.0,0.75,0.25,True
2013-05-10,1.0,0.0,0.0,1.0,0.0,1.0,True
2013-05-13,2.0,0.0,0.0,2.0,0.0,1.0,True
2013-05-14,2.0,2.0,0.0,4.0,0.5,0.5,True
2013-05-15,1.0,3.0,3.0,7.0,0.42857142857142855,0.14285714285714285,True
2013-05-16,1.0,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,True
2013-05-23,0.0,1.0,0.0,1.0,1.0,0.0,True
2013-05-29,1.0,0.0,0.0,1.0,0.0,1.0,True
2013-06-03,0.0,2.0,0.0,2.0,1.0,0.0,True
2013-06-11,0.0,0.0,1.0,1.0,0.0,0.0,False
2013-06-18,0.0,2.0,0.0,2.0,1.0,0.0,True
2013-06-20,0.0,2.0,0.0,2.0,1.0,0.0,False
