close_date,ApproveAfterChange,DirectlyApprove,Rejected,TotalReview,DirectlyApproveRate,ApproveAfterChangeRate,CloseToReleaseDate
2009-10-02,0.0,2.0,0.0,2.0,1.0,0.0,True
2009-10-06,0.0,2.0,0.0,2.0,1.0,0.0,True
2009-10-16,2.0,1.0,2.0,5.0,0.2,0.4,True
2009-10-28,0.0,1.0,0.0,1.0,1.0,0.0,True
2009-10-31,0.0,2.0,0.0,2.0,1.0,0.0,False
2009-11-01,0.0,1.0,1.0,2.0,0.5,0.0,False
2009-11-12,0.0,1.0,0.0,1.0,1.0,0.0,True
2009-12-01,4.0,4.0,1.0,9.0,0.4444444444444444,0.4444444444444444,True
2009-12-03,0.0,3.0,1.0,4.0,0.75,0.0,True
2009-12-08,0.0,0.0,7.0,7.0,0.0,0.0,True
2009-12-22,0.0,1.0,1.0,2.0,0.5,0.0,False
2009-12-30,4.0,1.0,0.0,5.0,0.2,0.8,False
2009-12-31,0.0,1.0,0.0,1.0,1.0,0.0,False
2010-01-05,1.0,0.0,0.0,1.0,0.0,1.0,True
2010-01-08,0.0,2.0,0.0,2.0,1.0,0.0,True
2010-01-13,0.0,3.0,0.0,3.0,1.0,0.0,True
2010-01-18,0.0,0.0,1.0,1.0,0.0,0.0,True
2010-01-19,0.0,0.0,1.0,1.0,0.0,0.0,True
2010-01-20,1.0,1.0,4.0,6.0,0.16666666666666666,0.16666666666666666,True
2010-01-21,0.0,1.0,0.0,1.0,1.0,0.0,True
2010-01-22,1.0,0.0,1.0,2.0,0.0,0.5,True
2010-01-23,0.0,3.0,0.0,3.0,1.0,0.0,False
2010-01-24,0.0,0.0,1.0,1.0,0.0,0.0,True
2010-01-27,0.0,3.0,0.0,3.0,1.0,0.0,True
2010-01-28,0.0,0.0,1.0,1.0,0.0,0.0,True
2010-01-30,0.0,1.0,0.0,1.0,1.0,0.0,False
2010-02-01,2.0,1.0,0.0,3.0,0.3333333333333333,0.6666666666666666,False
2010-02-02,1.0,0.0,1.0,2.0,0.0,0.5,False
2010-02-03,0.0,2.0,1.0,3.0,0.6666666666666666,0.0,True
2010-02-04,0.0,2.0,0.0,2.0,1.0,0.0,True
2010-02-07,1.0,1.0,0.0,2.0,0.5,0.5,True
2010-02-08,0.0,1.0,0.0,1.0,1.0,0.0,True
2010-02-11,1.0,2.0,0.0,3.0,0.6666666666666666,0.3333333333333333,True
2010-02-12,0.0,2.0,0.0,2.0,1.0,0.0,True
2010-02-15,1.0,0.0,0.0,1.0,0.0,1.0,False
2010-02-17,1.0,1.0,0.0,2.0,0.5,0.5,True
2010-02-18,0.0,0.0,1.0,1.0,0.0,0.0,True
2010-02-19,1.0,0.0,1.0,2.0,0.0,0.5,False
2010-02-24,1.0,0.0,2.0,3.0,0.0,0.3333333333333333,True
