close_date,ApproveAfterChange,DirectlyApprove,Rejected,TotalReview,DirectlyApproveRate,ApproveAfterChangeRate,CloseToReleaseDate
2011-02-03,0.0,0.0,2.0,2.0,0.0,0.0,True
2011-02-04,0.0,2.0,0.0,2.0,1.0,0.0,True
2011-02-09,2.0,1.0,1.0,4.0,0.25,0.5,False
2011-02-11,0.0,1.0,2.0,3.0,0.3333333333333333,0.0,False
2011-02-12,0.0,0.0,1.0,1.0,0.0,0.0,False
2011-02-14,1.0,2.0,0.0,3.0,0.6666666666666666,0.3333333333333333,True
2011-02-15,0.0,3.0,0.0,3.0,1.0,0.0,False
2011-02-16,7.0,2.0,1.0,10.0,0.2,0.7,False
2011-02-17,0.0,5.0,1.0,6.0,0.8333333333333334,0.0,False
2011-02-18,0.0,3.0,0.0,3.0,1.0,0.0,False
2011-02-19,0.0,1.0,1.0,2.0,0.5,0.0,False
2011-02-20,0.0,1.0,0.0,1.0,1.0,0.0,False
2011-02-21,0.0,1.0,0.0,1.0,1.0,0.0,False
2011-02-22,0.0,2.0,1.0,3.0,0.6666666666666666,0.0,False
2011-02-24,0.0,1.0,0.0,1.0,1.0,0.0,False
2011-02-25,2.0,4.0,1.0,7.0,0.5714285714285714,0.2857142857142857,False
2011-02-28,6.0,2.0,9.0,17.0,0.1176470588235294,0.35294117647058826,False
2011-03-01,1.0,4.0,0.0,5.0,0.8,0.2,False
2011-03-02,0.0,2.0,0.0,2.0,1.0,0.0,False
2011-03-06,0.0,4.0,0.0,4.0,1.0,0.0,False
2011-03-07,0.0,3.0,0.0,3.0,1.0,0.0,False
2011-03-08,0.0,4.0,0.0,4.0,1.0,0.0,False
2011-03-09,0.0,1.0,0.0,1.0,1.0,0.0,False
2011-03-10,1.0,1.0,0.0,2.0,0.5,0.5,False
2011-03-14,1.0,3.0,0.0,4.0,0.75,0.25,True
2011-03-15,0.0,1.0,1.0,2.0,0.5,0.0,True
2011-03-16,1.0,2.0,0.0,3.0,0.6666666666666666,0.3333333333333333,True
2011-03-18,0.0,3.0,0.0,3.0,1.0,0.0,True
2011-03-19,0.0,0.0,1.0,1.0,0.0,0.0,False
2011-03-20,2.0,1.0,0.0,3.0,0.3333333333333333,0.6666666666666666,False
2011-03-21,12.0,1.0,1.0,14.0,0.07142857142857142,0.8571428571428571,False
2011-03-22,15.0,7.0,0.0,22.0,0.3181818181818182,0.6818181818181818,False
2011-03-23,0.0,4.0,0.0,4.0,1.0,0.0,True
2011-03-24,0.0,3.0,0.0,3.0,1.0,0.0,True
2011-03-25,2.0,3.0,0.0,5.0,0.6,0.4,True
2011-03-26,0.0,2.0,0.0,2.0,1.0,0.0,True
2011-03-28,0.0,5.0,0.0,5.0,1.0,0.0,False
2011-03-29,0.0,3.0,1.0,4.0,0.75,0.0,False
2011-03-30,0.0,2.0,0.0,2.0,1.0,0.0,False
2011-03-31,1.0,3.0,0.0,4.0,0.75,0.25,False
2011-04-01,1.0,0.0,0.0,1.0,0.0,1.0,False
2011-04-02,1.0,3.0,0.0,4.0,0.75,0.25,False
2011-04-04,1.0,1.0,0.0,2.0,0.5,0.5,False
2011-04-06,0.0,5.0,1.0,6.0,0.8333333333333334,0.0,False
2011-04-07,0.0,1.0,0.0,1.0,1.0,0.0,False
2011-04-09,1.0,1.0,0.0,2.0,0.5,0.5,False
2011-04-11,0.0,5.0,1.0,6.0,0.8333333333333334,0.0,False
2011-04-12,3.0,4.0,0.0,7.0,0.5714285714285714,0.42857142857142855,False
2011-04-13,0.0,4.0,0.0,4.0,1.0,0.0,False
2011-04-14,0.0,4.0,0.0,4.0,1.0,0.0,False
2011-04-15,0.0,2.0,0.0,2.0,1.0,0.0,False
