,close_date,ApproveAfterChange,DirectlyApprove,Rejected,TotalCommit,DirectlyApproveRate,ApproveAfterChangeRate,CloseToReleaseDate
0,2010-11-10,0.0,3.0,2.0,5.0,0.6,0.0,True
1,2010-11-11,0.0,4.0,0.0,4.0,1.0,0.0,True
2,2010-11-15,1.0,0.0,0.0,1.0,0.0,1.0,True
3,2010-11-16,0.0,1.0,0.0,1.0,1.0,0.0,True
4,2010-11-17,1.0,5.0,0.0,6.0,0.8333333333333334,0.16666666666666666,True
5,2010-11-18,0.0,4.0,0.0,4.0,1.0,0.0,True
6,2010-11-19,0.0,1.0,0.0,1.0,1.0,0.0,True
7,2010-11-23,0.0,1.0,0.0,1.0,1.0,0.0,True
8,2010-12-01,0.0,1.0,0.0,1.0,1.0,0.0,True
9,2010-12-03,2.0,1.0,1.0,4.0,0.25,0.5,True
10,2010-12-15,0.0,2.0,0.0,2.0,1.0,0.0,True
11,2010-12-17,0.0,1.0,0.0,1.0,1.0,0.0,True
12,2011-02-15,0.0,1.0,0.0,1.0,1.0,0.0,True
13,2011-03-15,0.0,0.0,3.0,3.0,0.0,0.0,True
14,2011-03-16,1.0,0.0,0.0,1.0,0.0,1.0,True
15,2011-03-18,1.0,0.0,0.0,1.0,0.0,1.0,True
16,2011-03-21,0.0,1.0,0.0,1.0,1.0,0.0,True
17,2011-03-24,0.0,1.0,0.0,1.0,1.0,0.0,True
18,2011-03-29,0.0,1.0,0.0,1.0,1.0,0.0,True
19,2011-03-30,2.0,2.0,0.0,4.0,0.5,0.5,True
20,2011-04-27,21.0,1.0,2.0,24.0,0.04166666666666666,0.875,True
21,2011-04-29,0.0,13.0,8.0,21.0,0.6190476190476191,0.0,True
22,2011-05-10,0.0,1.0,0.0,1.0,1.0,0.0,True
23,2011-05-23,0.0,0.0,6.0,6.0,0.0,0.0,True
24,2011-05-24,0.0,0.0,3.0,3.0,0.0,0.0,True
25,2011-06-24,0.0,407.0,1.0,408.0,0.9975490196078431,0.0,False
26,2011-06-27,0.0,4.0,2.0,6.0,0.6666666666666666,0.0,True
27,2011-06-28,0.0,2.0,1.0,3.0,0.6666666666666666,0.0,True
28,2011-06-29,0.0,3.0,0.0,3.0,1.0,0.0,True
29,2011-07-06,0.0,3.0,0.0,3.0,1.0,0.0,True
30,2011-07-07,0.0,2.0,0.0,2.0,1.0,0.0,True
31,2011-07-08,0.0,0.0,1.0,1.0,0.0,0.0,False
32,2011-07-09,2.0,1.0,0.0,3.0,0.3333333333333333,0.6666666666666666,False
33,2011-07-11,1.0,0.0,0.0,1.0,0.0,1.0,True
34,2011-07-12,0.0,1.0,2.0,3.0,0.3333333333333333,0.0,True
35,2011-07-13,2.0,2.0,4.0,8.0,0.25,0.25,True
36,2011-07-14,0.0,3.0,0.0,3.0,1.0,0.0,True
37,2011-07-18,1.0,2.0,4.0,7.0,0.2857142857142857,0.14285714285714285,True
38,2011-07-20,1.0,1.0,0.0,2.0,0.5,0.5,True
39,2011-07-21,1.0,1.0,0.0,2.0,0.5,0.5,False
40,2011-07-22,0.0,1.0,0.0,1.0,1.0,0.0,True
41,2011-07-25,1.0,0.0,2.0,3.0,0.0,0.3333333333333333,True
42,2011-07-28,0.0,1.0,0.0,1.0,1.0,0.0,True
43,2011-08-02,2.0,2.0,2.0,6.0,0.3333333333333333,0.3333333333333333,True
44,2011-08-03,0.0,10.0,4.0,14.0,0.7142857142857143,0.0,True
45,2011-08-04,2.0,2.0,2.0,6.0,0.3333333333333333,0.3333333333333333,False
46,2011-08-05,1.0,0.0,0.0,1.0,0.0,1.0,False
47,2011-08-07,0.0,0.0,1.0,1.0,0.0,0.0,True
48,2011-08-08,0.0,2.0,0.0,2.0,1.0,0.0,True
49,2011-08-10,0.0,1.0,1.0,2.0,0.5,0.0,True
50,2011-08-11,1.0,2.0,0.0,3.0,0.6666666666666666,0.3333333333333333,True
51,2011-08-12,0.0,3.0,1.0,4.0,0.75,0.0,True
52,2011-08-13,0.0,1.0,0.0,1.0,1.0,0.0,False
53,2011-08-16,1.0,3.0,0.0,4.0,0.75,0.25,True
54,2011-08-17,1.0,5.0,6.0,12.0,0.4166666666666667,0.08333333333333333,True
55,2011-08-18,1.0,4.0,43.0,48.0,0.08333333333333333,0.02083333333333333,False
56,2011-08-19,0.0,5.0,0.0,5.0,1.0,0.0,True
57,2011-08-22,0.0,1.0,0.0,1.0,1.0,0.0,True
58,2011-08-23,1.0,2.0,2.0,5.0,0.4,0.2,False
59,2011-08-24,3.0,5.0,5.0,13.0,0.38461538461538464,0.2307692307692308,True
60,2011-08-25,0.0,4.0,0.0,4.0,1.0,0.0,True
61,2011-08-26,0.0,3.0,2.0,5.0,0.6,0.0,False
62,2011-08-27,0.0,1.0,0.0,1.0,1.0,0.0,False
63,2011-08-30,1.0,4.0,0.0,5.0,0.8,0.2,True
64,2011-08-31,1.0,2.0,0.0,3.0,0.6666666666666666,0.3333333333333333,True
65,2011-09-01,1.0,0.0,2.0,3.0,0.0,0.3333333333333333,True
66,2011-09-02,1.0,2.0,0.0,3.0,0.6666666666666666,0.3333333333333333,True
67,2011-09-06,1.0,0.0,0.0,1.0,0.0,1.0,True
68,2011-09-07,0.0,1.0,0.0,1.0,1.0,0.0,True
69,2011-09-08,1.0,1.0,0.0,2.0,0.5,0.5,True
70,2011-09-09,2.0,2.0,0.0,4.0,0.5,0.5,True
71,2011-09-10,0.0,1.0,0.0,1.0,1.0,0.0,False
72,2011-09-12,0.0,1.0,0.0,1.0,1.0,0.0,True
73,2011-09-13,0.0,3.0,0.0,3.0,1.0,0.0,True
74,2011-09-14,2.0,5.0,1.0,8.0,0.625,0.25,True
