,close_date,ApproveAfterChange,DirectlyApprove,Rejected,TotalCommit,ApprovalRate,CloseToReleaseDate
0,2010-11-10,0.0,3.0,2.0,5.0,0.6,False
1,2010-11-11,0.0,4.0,0.0,4.0,1.0,True
2,2010-11-15,1.0,0.0,0.0,1.0,0.0,False
3,2010-11-16,0.0,1.0,0.0,1.0,1.0,False
4,2010-11-17,1.0,5.0,0.0,6.0,0.8333333333333334,True
5,2010-11-18,0.0,4.0,0.0,4.0,1.0,True
6,2010-11-19,0.0,1.0,0.0,1.0,1.0,False
7,2010-11-23,0.0,1.0,0.0,1.0,1.0,False
8,2010-12-01,0.0,1.0,0.0,1.0,1.0,False
9,2010-12-03,2.0,1.0,1.0,4.0,0.25,False
10,2010-12-15,0.0,2.0,0.0,2.0,1.0,False
11,2010-12-17,0.0,1.0,0.0,1.0,1.0,False
12,2011-02-15,0.0,1.0,0.0,1.0,1.0,False
13,2011-03-15,0.0,0.0,3.0,3.0,0.0,True
14,2011-03-16,1.0,0.0,0.0,1.0,0.0,True
15,2011-03-18,1.0,0.0,0.0,1.0,0.0,True
16,2011-03-21,0.0,1.0,0.0,1.0,1.0,False
17,2011-03-24,0.0,1.0,0.0,1.0,1.0,True
18,2011-03-29,0.0,1.0,0.0,1.0,1.0,True
19,2011-03-30,2.0,2.0,0.0,4.0,0.5,True
20,2011-04-27,21.0,1.0,2.0,24.0,0.04166666666666666,False
21,2011-04-29,0.0,13.0,8.0,21.0,0.6190476190476191,False
22,2011-05-10,0.0,1.0,0.0,1.0,1.0,False
23,2011-05-23,0.0,0.0,6.0,6.0,0.0,False
24,2011-05-24,0.0,0.0,3.0,3.0,0.0,False
25,2011-06-24,0.0,407.0,1.0,408.0,0.9975490196078431,False
26,2011-06-27,0.0,4.0,2.0,6.0,0.6666666666666666,False
27,2011-06-28,0.0,2.0,1.0,3.0,0.6666666666666666,False
28,2011-06-29,0.0,3.0,0.0,3.0,1.0,False
29,2011-07-06,0.0,3.0,0.0,3.0,1.0,False
30,2011-07-07,0.0,2.0,0.0,2.0,1.0,False
31,2011-07-08,0.0,0.0,1.0,1.0,0.0,False
32,2011-07-09,2.0,1.0,0.0,3.0,0.3333333333333333,False
33,2011-07-11,1.0,0.0,0.0,1.0,0.0,False
34,2011-07-12,0.0,1.0,2.0,3.0,0.3333333333333333,False
35,2011-07-13,2.0,2.0,4.0,8.0,0.25,False
36,2011-07-14,0.0,3.0,0.0,3.0,1.0,False
37,2011-07-18,1.0,2.0,4.0,7.0,0.2857142857142857,False
38,2011-07-20,1.0,1.0,0.0,2.0,0.5,False
39,2011-07-21,1.0,1.0,0.0,2.0,0.5,False
40,2011-07-22,0.0,1.0,0.0,1.0,1.0,True
41,2011-07-25,1.0,0.0,2.0,3.0,0.0,False
42,2011-07-28,0.0,1.0,0.0,1.0,1.0,False
43,2011-08-02,2.0,2.0,2.0,6.0,0.3333333333333333,False
